,005001.OF,zhouqi,xiaofei,zhizao,TMT,jinrong
2020/3/12,-0.0117,-0.021166043,-0.026319647,-0.020866562,-0.013839261,-0.010165866
2020/3/13,-0.0037,-0.016946645,-0.016355834,-0.009089544,-0.000900473,-0.011171819
2020/3/16,-0.0357,-0.033466662,-0.033941581,-0.045065878,-0.065471949,-0.0370295
2020/3/17,-0.009,-0.003013046,-0.009568198,-5.15E-07,0.004833563,-0.001833068
2020/3/18,-0.0188,-0.012764088,-0.01088953,-0.017101096,-0.018310371,-0.027746549
2020/3/19,-0.0122,-0.002828589,-0.011457768,-0.001209245,0.025167839,-0.017242443
2020/3/20,0.0161,0.016431632,0.024075556,0.011127172,0.003666782,0.018864211
2020/3/23,-0.0401,-0.036518723,-0.025748883,-0.041147404,-0.054784128,-0.031312849
2020/3/24,0.0198,0.024149372,0.028051488,0.02059366,0.017780822,0.025932205
2020/3/25,0.0251,0.019355928,0.030010033,0.028403115,0.028080961,0.022990909
2020/3/26,-0.0043,-0.013329005,0.006936193,-0.014963466,-0.016942371,-0.003861591
2020/3/27,0.0032,0.00443933,0.001485837,0.001354719,-0.014234633,0.003431325
2020/3/30,-0.0108,-0.013280866,-0.009534984,-0.010810141,-0.036569667,-0.00755836
2020/3/31,0.0015,0.003452775,0.019876818,0.00061962,-0.004551086,-0.007364538
2020/4/1,0.0026,-0.002997379,-0.01175076,-0.004346794,0.004211639,-7.34E-05
2020/4/2,0.0102,0.019102476,0.012238359,0.019865396,0.045495846,0.010550818
2020/4/3,-0.0042,-0.007441526,0.005455063,-0.007771028,-0.014163886,-0.008173495
2020/4/7,0.0165,0.032107657,0.029961472,0.028581705,0.034545232,0.015674991
2020/4/8,-0.0023,0.001301041,-0.003785799,0.001433764,0.004466119,-0.005666935
2020/4/9,0.0035,0.002663145,0.014564686,3.37E-03,0.007779514,0.002329511
